model_name,data_path,bleu_mean,bleu_std,bleu_precision1_mean,bleu_precision1_std,bleu_precision2_mean,bleu_precision2_std,bleu_precision3_mean,bleu_precision3_std,bleu_precision4_mean,bleu_precision4_std,length_ratio_mean,length_ratio_std,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougel_mean,rougel_std,qwen3_embedding_distance_mean,qwen3_embedding_distance_std,gemma_embedding_distance_mean,gemma_embedding_distance_std,luxembedder_embedding_distance_mean,luxembedder_embedding_distance_std
Llama-3.1-8B-Instruct,../../data/processed/eng_test.json,0.00415461182603756,0.00023969590801063573,0.05580622665623908,0.0008300817947979878,0.00633687471596602,0.0004329539054681812,0.0014005375782225001,0.00011432995890579003,0.00060243653672166,4.4455139921969065e-05,4.418068699614441,0.025296006075335,0.07929757071784618,0.0008125992958926871,0.00687924736972078,0.00021651931073519523,0.06128127108405644,0.0007153733288355519,0.6151717066764831,0.004701412775884244,0.6163278818130493,0.0032667017491759508,0.5015373051166534,0.0024540128902082203
Llama-3.1-8B-Instruct,../../data/processed/eng_test_bio.json,0.00455160597165248,0.0010220230989617615,0.05144769836623636,0.0009103188281673833,0.00730229139102284,0.0004777171033055465,0.0016564625472425,0.0004961622970079831,0.0007510801626318001,0.000490735964771578,4.90651945320715,0.04695140095943178,0.0839875218094572,0.0008622733558402586,0.009376215261830158,0.0004940648230787384,0.06553179504338105,0.0005567423484182314,0.5128698825836182,0.0017379557174035853,0.5517168641090393,0.0026845325058872586,0.4390712320804596,0.0017396228977255353
Llama-3.1-8B-Instruct,../../data/processed/eng_test_bio_history.json,0.05294958859206902,0.0013055681938731732,0.2109796747166508,0.003391257634066098,0.08378326837316787,0.0020528722543431237,0.027152726433234818,0.0008622872214998533,0.01637995688601822,0.0005134069736518437,1.1098668068699613,0.028499978639747882,0.19042885502008594,0.0035495553435403774,0.03442906994133712,0.0031793162287635577,0.1801080533597438,0.0029573161399030863,0.41960429549217226,0.002248975264448462,0.41826035976409914,0.001635372952806916,0.27101207375526426,0.0039402305282872484
Llama-3.1-8B-Instruct,../../data/processed/eng_test_history.json,0.05426909479621004,0.0012814620293685169,0.21537760638748288,0.0024938611545407222,0.0846355588798761,0.0011220463205260426,0.027994523437896962,0.0011727797877736936,0.01700494310969142,0.0005952196947190844,1.1179985979670524,0.007601514810594619,0.18202360602607057,0.004691108649940548,0.029167162565518878,0.0038926497227609797,0.17007063412167195,0.004045822582973798,0.4281191647052765,0.005275938268591079,0.42199488282203673,0.004878715422992093,0.27711517810821534,0.004790994652267957
Llama-3.1-8B-Instruct,../../data/processed/ger_test_bio_history.json,0.06454496430580628,0.0008752462360089103,0.21906512980613568,0.0018167571278697096,0.08146943990912588,0.001217866363761316,0.04201800649091222,0.0005739677320118694,0.02315130355840038,0.0007277301281012719,1.205430024843251,0.008502062514530178,0.17239119539959716,0.002332728127586,0.04062923989812476,0.0012494664474310144,0.15155491277767108,0.001580845340811629,0.5086319446563721,0.0014784984502265292,0.4638587892055511,0.0027736573035170046,0.29749096035957334,0.0004487592965745602
Llama-3.1-8B-Instruct,../../data/processed/lux_test_bio_history.json,0.0070598212233398995,0.0005276418791669591,0.133649707071766,0.004175572417389555,0.013772683418140875,0.0005532036167703356,0.003133448744016825,0.00013401812799633352,0.00044014134909430003,0.00012820983128150382,1.2906884686824396,0.026217758942374967,0.11255895135313677,0.0022432337999762106,0.012134036043475651,0.0010297608458115582,0.07653442996445048,0.0015747650715540636,0.5788356810808182,0.0013601851691021041,0.6205106973648071,0.0018809596803219008,0.4098694622516632,0.00293876550208825
Llama-3.1-8B-Instruct-eng-base,../../data/processed/eng_test.json,0.07565976408517507,0.0015285348616955626,0.2222551904244817,0.010748270220359157,0.10792869804707861,0.005409754966496967,0.04670646657578918,0.002630369722663075,0.0318539009352843,0.0019494886092561287,0.9995618647038207,0.05043068583707644,0.20669774420370382,0.0019437292291339915,0.0430685559354985,0.0017790603017021147,0.20034096946165675,0.0015995005731808695,0.4179759740829468,0.002584147985297946,0.4226121485233307,0.0025115031606307756,0.2753466069698334,0.004372372427958219
Llama-3.1-8B-Instruct-eng-bio,../../data/processed/eng_test_bio.json,0.07866949603591074,0.0007665106269429342,0.2399462748300985,0.015048730934483454,0.11823393106339056,0.00911140601011043,0.05246385188255022,0.004433653631700294,0.035333001911814,0.003167534260472096,0.9352436032246757,0.06366119422701128,0.22020654085790364,0.0015967763131406502,0.05070849903178676,0.00236996058375384,0.21285822897999132,0.0015982584299228473,0.40741527676582334,0.003189655649909654,0.4147075116634369,0.004015822394510029,0.26487026214599607,0.003737849810628101
Llama-3.1-8B-Instruct-eng-bio-history,../../data/processed/eng_test_bio_history.json,0.08316323660529196,0.0012739810406305083,0.24240680338024304,0.009284667725055366,0.12029327388883786,0.005071305892355042,0.0549655597105763,0.002598474644634146,0.03616765730854764,0.0022135467597457826,0.9605502979320013,0.041833519672345665,0.22902487289588783,0.002980472626476732,0.05734710771840477,0.0011631466344060274,0.2210380188283158,0.0026066407465628666,0.39694605469703675,0.0009481022579338248,0.4020670473575592,0.0014536143202401703,0.26085153222084045,0.0016131103153037324
Llama-3.1-8B-Instruct-eng-history,../../data/processed/eng_test_history.json,0.07706418808199982,0.006347334901901979,0.22521610926487945,0.018245141113461347,0.1062090191681015,0.008839480611093143,0.047763076016377796,0.00404820187743582,0.03087459168188954,0.0025315294191509746,1.094023834560112,0.09956456628297873,0.22927407329862803,0.004782851142264597,0.056375487642460545,0.004968993806250485,0.21966110386865836,0.004437294284457785,0.39890642166137696,0.004908868087116971,0.4026813805103302,0.005803677152529902,0.25888673663139344,0.004300518862128188
Llama-3.1-8B-Instruct-ger-bio-history,../../data/processed/ger_test_bio_history.json,0.09495145497555696,0.0017179516241745399,0.2595879169199294,0.009093877091485913,0.12387040844410593,0.004427779192921046,0.07498148233392785,0.0029838833043429338,0.04911673699343459,0.0022191219889380817,0.9151425529397847,0.028604454660642983,0.19236860545094828,0.0027264988129114885,0.06306687901441294,0.0011929737361081915,0.17810010746370145,0.0024690231057157425,0.5040076494216919,0.0023679035071956117,0.4554399371147156,0.005244138242639432,0.3061602175235748,0.003049812101202644
Llama-3.1-8B-Instruct-lux-bio-history,../../data/processed/lux_test_bio_history.json,0.00900044900903424,0.00039965534618856366,0.15962316062879914,0.004132228415587238,0.0172042223089608,0.0007459831124585931,0.00371132983649112,0.0004876381999427716,0.00103546310953532,0.0001567824659193592,0.8974026369477178,0.030377274381466663,0.1082641931730763,0.0014153845534154265,0.01283572952762392,0.0011887301570864305,0.07478699249905674,0.0019397371565285184,0.6051449179649353,0.0032312785588726185,0.625647783279419,0.004406713176770627,0.46261640787124636,0.0040055083180405675
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/eng_test_bio_history.json,0.08165451527365918,0.002977183153499966,0.2389162243969813,0.017612567975381722,0.11908031147836422,0.009309836534228443,0.054308252353389194,0.004930873523783065,0.03590265194881276,0.0038568717446340562,0.9638450753592711,0.06668334574083652,0.22595391576108548,0.0031831443253060496,0.05584198113723347,0.002539937656206959,0.21891793160363457,0.0030093801116602087,0.3983578860759735,0.003604730828894576,0.4043347239494324,0.003422839971562594,0.26224484443664553,0.003397459318589059
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/ger_test_bio_history.json,0.09407894728735204,0.001257037077740979,0.2699937603436599,0.008364308623958637,0.13138008181067456,0.004186927070951565,0.08050946790484922,0.0029917085206457696,0.05311075320467183,0.0022893696572834593,0.8592097480184551,0.026111803277289347,0.1915561427660037,0.004711185187806204,0.06486824018869426,0.0016131650141529626,0.17791658216236958,0.003937466943433845,0.5029237985610961,0.004313062269353436,0.4548827290534973,0.0031786426073052145,0.30607151985168457,0.001157545616534776
Llama-3.1-8B-Instruct-mix-bio-history,../../data/processed/lux_test_bio_history.json,0.00843293142342954,0.001043542209539464,0.16845226390124504,0.004828403206153907,0.018223241765945,0.001292956688723262,0.0041145004441154,0.0007607548990210112,0.00121605665648286,0.0003315121028433107,0.7867543619256417,0.024868618231839335,0.10922598746535436,0.002316058821511252,0.01274283152610122,0.0008202828196017806,0.0759010648666782,0.001660878413807698,0.6057280659675598,0.002330907468618951,0.6269542217254639,0.001561288368566753,0.4665664196014404,0.005081751486954246
Ministral-8B-Instruct-2410,../../data/processed/eng_test_bio_history.json,0.03900974548568918,0.002008420577369798,0.16973883361413405,0.007289336986751914,0.061709045408394614,0.0033556034231598353,0.01902779408630384,0.0009587343137349398,0.011624962741970581,0.0007848907766265264,1.4280056081317913,0.06615818599175628,0.1863499101363342,0.0032448561064109564,0.0323130766062049,0.0026171844365272287,0.17431804638507048,0.0031423388064753415,0.4238093256950378,0.004316699963101531,0.4278280556201935,0.004413436702936564,0.2825279116630554,0.0038239572269831404
Ministral-8B-Instruct-2410,../../data/processed/ger_test_bio_history.json,0.04560068174900076,0.0009711375443837518,0.17143638183406254,0.00145709860370211,0.05705899970796709,0.0010639165720395503,0.028421160923895218,0.0007774316427459402,0.01555847254496252,0.0006033576706468168,1.6271501242162547,0.01281573830365776,0.15975857089264944,0.00137456832982902,0.036221049668179836,0.0006085595723226973,0.13814865446457808,0.0012295453827070465,0.5053975224494934,0.002073207458420984,0.4688481271266937,0.0012170822218447051,0.3075504720211029,0.0031918090821711404
Ministral-8B-Instruct-2410,../../data/processed/lux_test_bio_history.json,0.0033372499456635002,0.0005869490806729652,0.06503803679566506,0.0021202382789000016,0.0049510663254003755,0.00030657999090949424,0.001121938607514025,0.00023259245751963478,0.00035788558317520003,0.0001588958496953184,2.9801239304527876,0.08033352115464465,0.0806698671234942,0.0010563819698810365,0.007801890183066475,0.0003982307561593113,0.05524941401486987,0.0008687910822673385,0.5830662995576859,0.0017627271796791242,0.6308801472187042,0.0015557293078330143,0.42210328578948975,0.0037101311695313605
Ministral-8B-Instruct-2410-eng-bio-history,../../data/processed/eng_test_bio_history.json,0.08071615933790281,0.0026860369379723983,0.23993475861728686,0.014812171903058717,0.11572021092431613,0.006438059420562354,0.05138747016468914,0.002820761112933438,0.033756033536162924,0.0022833674977094966,0.9849631966351209,0.0521162109764888,0.22305759564949898,0.004901474722517917,0.05248178794591278,0.002241158396596776,0.2153924549883921,0.004671242982587498,0.40365310907363894,0.001076661078011805,0.4074984133243561,0.002763630296070996,0.26501454710960387,0.004474813312447634
Ministral-8B-Instruct-2410-ger-bio-history,../../data/processed/ger_test_bio_history.json,0.0866366582365609,0.004749054591727964,0.2257371276452739,0.01118969453618746,0.10325074800863912,0.005604823531592381,0.06151114037225251,0.0034346046319341833,0.039307177483267765,0.0025345443837958863,1.0731456287708505,0.05040761716163767,0.1821042823631924,0.0030859488613075043,0.05932992269777182,0.0022902450629713076,0.16730088648362612,0.003755991394675927,0.5016351044178009,0.004734192307296598,0.4555457353591919,0.002767487986606222,0.30228065252304076,0.002525388235104535
Ministral-8B-Instruct-2410-lux-bio-history,../../data/processed/lux_test_bio_history.json,0.00955640008891496,0.0009741148517463309,0.15184646503752028,0.005246383566827023,0.0160213820945338,0.0009104084484691435,0.00356107360644548,0.0003114525865659416,0.0009841100709049,0.0002568775274361627,1.0769891294418563,0.03807863351255319,0.11444306770437615,0.0008682389106040091,0.01234315468305798,0.0010546329819554185,0.07667256211432212,0.0009384549101151412,0.596733546257019,0.004589547132620905,0.6153530716896057,0.0037418795207690815,0.44284623861312866,0.0025111145841571945
Qwen3-0.6B,../../data/processed/eng_test_bio_history.json,0.02676300837675864,0.0004702008895163391,0.13676915379647964,0.0014400119466204914,0.0409890642414201,0.0007381327599834704,0.01247198476794888,0.00026247525079730455,0.00733948932082624,0.00023543033508897142,1.9560813179109708,0.02309362893421171,0.15547705143878404,0.0019442403203123553,0.02538634107772252,0.0008731902378370257,0.13841883969339186,0.0013873398867861608,0.45228566527366637,0.0033680626325340106,0.47715823650360106,0.0014631999028569054,0.3318544805049896,0.002957402180170348
Qwen3-0.6B-eng-bio-history,../../data/processed/eng_test_bio_history.json,0.0581336292395362,0.0024122740372816776,0.17498333783134484,0.006469682890980179,0.08309683436297856,0.003584425165886586,0.03524219123879134,0.0017249274336996545,0.022290957318836117,0.0009043886416565199,1.290273396424816,0.05008668731306317,0.20603149645736285,0.0024049422623625997,0.04643272423477206,0.0017597625503665264,0.19888402731164673,0.0026713293543191192,0.41955193877220154,0.002137488076405674,0.43413612246513367,0.0022050337854507937,0.2717421054840088,0.0030148694371284358
Qwen3-1.7B,../../data/processed/eng_test_bio_history.json,0.016133259029587378,0.000767337165953787,0.0757496166208143,0.00326922025459212,0.0258606415639625,0.0011229917506279882,0.00780358955036904,0.00040830743362168387,0.00443215846596446,0.0002350709688030839,3.585453908166842,0.1501327015682925,0.17574291506944326,0.001995973862212764,0.0324513338637605,0.0006653901463669426,0.16412824554168176,0.0022985662584890693,0.42516128420829774,0.0023279134621483873,0.4450119435787201,0.0016525652164088899,0.2975237786769867,0.002194325546133654
Qwen3-1.7B-eng-bio-history,../../data/processed/eng_test_bio_history.json,0.0579976756944204,0.00640072263938579,0.17708051550179107,0.019908892846092912,0.08242306589004755,0.008755372807972943,0.034808708115280564,0.003757495183562497,0.02227767001243814,0.0026217208524182537,1.3192954784437434,0.12518862442872922,0.20220995232426145,0.001982773085962581,0.044568800938208045,0.0015395488253556705,0.19437428702080722,0.0019710461062775247,0.421418696641922,0.001983796665169154,0.43601678013801576,0.0024730441278379904,0.2748450040817261,0.0015543965646642015
Qwen3-4B,../../data/processed/eng_test_bio_history.json,0.0405570150599916,0.0015105040130443661,0.17276411406695397,0.004352783863174812,0.06257488527239145,0.002152679496795302,0.0206819665667948,0.0009673988795738697,0.012102990288749099,0.0005396572060550748,1.5302839116719242,0.03790427943715468,0.18024698201367614,0.0024065148969424216,0.03120435427377032,0.0008875384013198018,0.166305367787655,0.0025216723977050594,0.42251776456832885,0.002678389873206692,0.4303964853286743,0.0009786135060768453,0.2787857472896576,0.0022400746365180985
Qwen3-4B-eng-bio-history,../../data/processed/eng_test_bio_history.json,0.0797617883043774,0.0020618046443451337,0.23259641039462506,0.008461380171476168,0.11291164628243584,0.005326112661956452,0.05020354630331458,0.0028606061084604697,0.03368944054434562,0.001786883277937924,0.9864002804065896,0.033746510478162045,0.21552519332119563,0.002042893068065771,0.048886438278354476,0.0027999707803030025,0.20773402130971505,0.002381698297495942,0.41048137545585633,0.0033020090882037536,0.416586834192276,0.0026086247323546495,0.26880857944488523,0.002184303824063282
Qwen3-8B,../../data/processed/eng_test_bio_history.json,0.03832110503307806,0.0010252217224610137,0.16123882659798544,0.0041350061464135906,0.05887060448506161,0.0015027893249497082,0.01958114842053746,0.0006877404563808982,0.011604103443421141,0.00030575208480918713,1.6243252716438836,0.0347331268998647,0.18036198336012502,0.0019991061526505325,0.03451719498438754,0.0015018140144923114,0.16724713458933754,0.0021125906993815554,0.4181809961795807,0.0010403905532834709,0.4262538552284241,0.0012203982583213267,0.2795590817928314,0.002333566422922713
Qwen3-8B,../../data/processed/ger_test_bio_history.json,0.04861241308246322,0.0005480299434691701,0.17899584513450142,0.0018177253315904258,0.06071821007330848,0.0005565201876923272,0.0303271322448825,0.000521440228115179,0.016946441919108518,0.0003776403594866395,1.6330415237193896,0.018750338199045292,0.17062766642847882,0.0016397220947896639,0.0401798251570012,0.001025364267772957,0.14842864339656947,0.0017465632120197228,0.5091460227966309,0.0033217331683020788,0.4616393268108368,0.002293471610072639,0.29598491787910464,0.0018586368746025927
Qwen3-8B,../../data/processed/lux_test_bio_history.json,0.00320623420227595,0.00020636974483805286,0.07165121568241592,0.0014091594702190882,0.006618677253156875,0.00033670649002637466,0.001512959926256775,0.00016140036445443177,0.00014804711691667502,1.821905261623453e-05,2.42708809110563,0.03566103863736533,0.0787405392565372,0.0013587078447839748,0.0082317616648577,0.00011764100121404106,0.061181495570410555,0.0013381010858226918,0.5783423185348511,0.00202140451297942,0.622178852558136,0.0027195052245798297,0.4150458425283432,0.0018026038187341153
Qwen3-8B-eng-bio-history,../../data/processed/eng_test_bio_history.json,0.08102048273205989,0.002154790014313714,0.245691177075197,0.015223942225003685,0.12132983093768698,0.008111592138762575,0.054557054767324864,0.003324860988811139,0.0361105309172376,0.002713763782241484,0.9332281808622502,0.05742444624781545,0.21983726263358805,0.0010575034036188887,0.05398275074205512,0.002151486542824197,0.21248058090893132,0.0008898558024550066,0.40793889164924624,0.002555151976249201,0.41304621696472166,0.002920544931399977,0.26481723189353945,0.0014880245144965358
Qwen3-8B-ger-bio-history,../../data/processed/ger_test_bio_history.json,0.0938258643031812,0.0014842925407755516,0.25706165128050634,0.005569582574270045,0.12056864786540411,0.0017612455579096098,0.07291298672794497,0.00131362021145528,0.0473478872001386,0.0012192185380771607,0.9256595291612445,0.016237318438835798,0.18821451177193776,0.002568119821160609,0.06137108905974844,0.001204787856557153,0.17342094090650564,0.0013335874501684878,0.512019157409668,0.005672995170124808,0.46613557934761046,0.005175198752802659,0.3094960510730743,0.004611882386461698
Qwen3-8B-lux-bio-history,../../data/processed/lux_test_bio_history.json,0.0076833850963211,0.0007063405065823807,0.15095862416785127,0.0056893411469420285,0.015386138140850575,0.0013667192332783643,0.003129574143520825,0.0005541267980740145,0.0008228785539623751,0.0001826072943546733,0.8863006607594166,0.02816758656150338,0.10729764927621482,0.001997620107355101,0.0108950647351014,0.00029310575208540024,0.07440575179828858,0.0006491800554017927,0.6098757237195969,0.0028812805796555375,0.6352385729551315,0.004120739294880857,0.4702729433774948,0.0035828732825501563
